code,name,market_cap,rank
DOV,Dover Corporation,0.054074,337
IR,Ingersoll Rand Inc,0.053694,338
HOLX,Hologic Inc,0.053631,339
VRSN,VeriSign Inc,0.053588,340
CLX,Clorox Company,0.053563,341
BR,Broadridge Financial Solutions Inc,0.053352,342
CF,CF Industries Holdings Inc,0.052799,343
MOS,Mosaic Company,0.052717,344
SWKS,Skyworks Solutions Inc,0.05267,345
K,Kellogg Company,0.052597,346
MOH,Molina Healthcare Inc,0.052414,347
ZBRA,Zebra Technologies Corporation Class A,0.052299,348
CEG,Constellation Energy Corporation,0.052041,349
SWK,Stanley Black and Decker Inc,0.051839,350
ESS,Essex Property Trust Inc,0.051676,351
EXPD,Expeditors International of Washington Inc,0.050809,352
FLT,FLEETCOR Technologies Inc,0.050688,353
KEY,KeyCorp,0.050183,354
J,Jacobs Engineering Group Inc,0.049537,355
STX,Seagate Technology Holdings PLC,0.049527,356
TER,Teradyne Inc,0.049477,357
CINF,Cincinnati Financial Corporation,0.048924,358
SYF,Synchrony Financial,0.048594,359
SEDG,SolarEdge Technologies Inc,0.048139,360
WAB,Westinghouse Air Brake Technologies Corporation,0.048135,361
GRMN,Garmin Ltd,0.047876,362
TRMB,Trimble Inc,0.047826,363
IP,International Paper Company,0.04758,364
DGX,Quest Diagnostics Incorporated,0.04741,365
CAG,Conagra Brands Inc,0.046979,366
BBY,Best Buy Co Inc,0.046975,367
PAYC,Paycom Software Inc,0.046897,368
WDC,Western Digital Corporation,0.046692,369
NTAP,NetApp Inc,0.046613,370
MRO,Marathon Oil Corporation,0.046528,371
GNRC,Generac Holdings Inc,0.046477,372
DRI,Darden Restaurants Inc,0.046474,373
PARA,Paramount Global Class B,0.046465,374
ATO,Atmos Energy Corporation,0.04645,375
CAH,Cardinal Health Inc,0.046447,376
KMX,CarMax Inc,0.046124,377
INCY,Incyte Corporation,0.045978,378
FDS,FactSet Research Systems Inc,0.045914,379
COO,Cooper Companies Inc,0.04585,380
EXPE,Expedia Group Inc,0.045499,381
AKAM,Akamai Technologies Inc,0.045211,382
VFC,VF Corporation,0.045104,383
PFG,Principal Financial Group Inc,0.045088,384
TYL,Tyler Technologies Inc,0.044705,385
DPZ,Dominos Pizza Inc,0.044129,386
XYL,Xylem Inc,0.044068,387
JKHY,Jack Henry and Associates Inc,0.04324,388
IEX,IDEX Corporation,0.043152,389
AVY,Avery Dennison Corporation,0.043025,390
BRO,Brown and Brown Inc,0.042965,391
NLOK,NortonLifeLock Inc,0.042851,392
OMC,Omnicom Group Inc,0.042814,393
EVRG,Evergy Inc,0.042741,394
LKQ,LKQ Corporation,0.042728,395
JBHT,JB Hunt Transport Services Inc,0.042619,396
CPT,Camden Property Trust,0.042532,397
TECH,Bio-Techne Corporation,0.042444,398
PEAK,Healthpeak Properties Inc,0.042352,399
POOL,Pool Corporation,0.042158,400
TXT,Textron Inc,0.041941,401
LDOS,Leidos Holdings Inc,0.041815,402
NVR,NVR Inc,0.041727,403
LNT,Alliant Energy Corp,0.041709,404
SJM,JM Smucker Company,0.041124,405
IRM,Iron Mountain Inc,0.040478,406
UDR,UDR Inc,0.040431,407
LVS,Las Vegas Sands Corp,0.040201,408
MAS,Masco Corporation,0.039975,409
WRB,W R Berkley Corporation,0.039912,410
PKG,Packaging Corporation of America,0.039729,411
FMC,FMC Corporation,0.039651,412
HRL,Hormel Foods Corporation,0.03944,413
CHRW,CH Robinson Worldwide Inc,0.039396,414
AES,AES Corporation,0.03911,415
KIM,Kimco Realty Corporation,0.039065,416
HWM,Howmet Aerospace Inc,0.038995,417
CBOE,Cboe Global Markets Inc,0.03898,418
BF.B,Brown-Forman Corporation Class B,0.038338,419
ABMD,ABIOMED Inc,0.038096,420
CTXS,Citrix Systems Inc,0.037163,421
CE,Celanese Corporation,0.03703,422
BXP,Boston Properties Inc,0.03685,423
TFX,Teleflex Incorporated,0.036827,424
LYV,Live Nation Entertainment Inc,0.036593,425
ETSY,Etsy Inc,0.036266,426
HST,Host Hotels and Resorts Inc,0.036069,427
EMN,Eastman Chemical Company,0.035546,428
UAL,United Airlines Holdings Inc,0.035443,429
NDSN,Nordson Corporation,0.035345,430
CRL,Charles River Laboratories International Inc,0.035248,431
VTRS,Viatris Inc,0.035211,432
PTC,PTC Inc,0.035136,433
AAP,Advance Auto Parts Inc,0.035027,434
QRVO,Qorvo Inc,0.034329,435
BIO,Bio-Rad Laboratories Inc Class A,0.033854,436
IPG,Interpublic Group of Companies Inc,0.033824,437
NI,NiSource Inc,0.033819,438
SBNY,Signature Bank,0.033703,439
SNA,Snap-on Incorporated,0.033688,440
APA,APA Corp,0.033406,441
L,Loews Corporation,0.033297,442
FOXA,Fox Corporation Class A,0.033083,443
MGM,MGM Resorts International,0.032985,444
WRK,WestRock Company,0.032484,445
HAS,Hasbro Inc,0.03216,446
LW,Lamb Weston Holdings Inc,0.032149,447
PHM,PulteGroup Inc,0.032135,448
HSIC,Henry Schein Inc,0.032101,449
TAP,Molson Coors Beverage Company Class B,0.031968,450
RE,Everest Re Group Ltd,0.03176,451
CMA,Comerica Incorporated,0.031108,452
MKTX,MarketAxess Holdings Inc,0.030318,453
CPB,Campbell Soup Company,0.028693,454
LUMN,Lumen Technologies Inc,0.028427,455
AIZ,Assurant Inc,0.028407,456
REG,Regency Centers Corporation,0.02838,457
WHR,Whirlpool Corporation,0.028105,458
JNPR,Juniper Networks Inc,0.028028,459
CZR,Caesars Entertainment Inc,0.027882,460
GL,Globe Life Inc,0.027796,461
FFIV,F5 Inc,0.027784,462
FBHS,Fortune Brands Home and Security Inc,0.027552,463
ALLE,Allegion Public Limited Company,0.027365,464
RHI,Robert Half International Inc,0.027112,465
AAL,American Airlines Group Inc,0.026839,466
TPR,Tapestry Inc,0.026596,467
SEE,Sealed Air Corporation,0.026282,468
NRG,NRG Energy Inc,0.026195,469
BWA,BorgWarner Inc,0.025814,470
NLSN,Nielsen Holdings Plc,0.025542,471
LNC,Lincoln National Corporation,0.025338,472
HII,Huntington Ingalls Industries Inc,0.024694,473
ROL,Rollins Inc,0.024035,474
OGN,Organon and Co,0.023854,475
ZION,Zions Bancorporation NA,0.023802,476
RCL,Royal Caribbean Group,0.02372,477
BBWI,Bath and Body Works Inc,0.023555,478
XRAY,DENTSPLY SIRONA Inc,0.023493,479
PNW,Pinnacle West Capital Corporation,0.023212,480
CCL,Carnival Corporation,0.023179,481
AOS,A O Smith Corporation,0.023152,482
PNR,Pentair plc,0.023081,483
DXC,DXC Technology Co,0.022971,484
NWL,Newell Brands Inc,0.022475,485
CDAY,Ceridian HCM Holding Inc,0.022092,486
UHS,Universal Health Services Inc Class B,0.021802,487
FRT,Federal Realty Investment Trust,0.021132,488
BEN,Franklin Resources Inc,0.020756,489
MHK,Mohawk Industries Inc,0.020577,490
WYNN,Wynn Resorts Limited,0.019901,491
NWSA,News Corporation Class A,0.019547,492
IVZ,Invesco Ltd,0.017294,493
PENN,Penn National Gaming Inc,0.017001,494
ALK,Alaska Air Group Inc,0.015923,495
DVA,DaVita Inc,0.015715,496
NCLH,Norwegian Cruise Line Holdings Ltd,0.015394,497
FOX,Fox Corporation Class B,0.014177,498
DISH,DISH Network Corporation Class A,0.013892,499
RL,Ralph Lauren Corporation Class A,0.013807,500
VNO,Vornado Realty Trust,0.013708,501
PVH,PVH Corp,0.013211,502
NWS,News Corporation Class B,0.006239,503
EMBC,Embecta Corporation,4e-06,504
